ID	Justification	Subject (Whom)	Tone
3949	02	862	Assumed
3951	01	862	Questioned
3951	02	862	Mixed
3957	01	862	Questioned
3957	02	862	Deflating
3957	06	862	Assumed
3957	03	862	Deflating
3960	01	781	Questioned
3971	02	862	Mixed
3974	03	697	Assumed
3995	02	862	Reinforcing
3998	02	600	Assumed
4003	02	862	Reinforcing
4008	06	902	Reinforcing
4008	05	889	Mixed
4008	02	830	Questioned
4008	02	907	Deflating
4008	05	907	Assumed
4013	02	602	Assumed
4013	02	681	Reinforcing
4013	01	500	Assumed
4014	08	817	Assumed
4014	08	905	Assumed
4015	02	681	Assumed
4018	02	850	Assumed
4020	02	850	Assumed
4022	02	862	Assumed
4026	02	862	Questioned
4026	06	850	Assumed
4033	02	602	Assumed
4034	02	514	Reinforcing
4035	05	849	Reinforcing
4035	06	902	Reinforcing
4035	02	902	Deflating
4037	01	514	Assumed
4037	01	602	Reinforcing
4040	04	862	Questioned
4040	02	862	Questioned
4040	01	862	Questioned
4045	05	850	Deflating
4045	02	850	Deflating
4048	02	600	Assumed
4053	02	850	Assumed
4053	02	850	Assumed
4061	02	661	Assumed
4068	05	731	Assumed
4072	02	850	Assumed
4090	05	905	Reinforcing
4090	08	905	Assumed
4090	02	905	Assumed
4093	02	702	Assumed
4093	03	702	Assumed
4096	02	850	Assumed
4097	05	500	Deflating
4103	02	660	Assumed
4105	02	681	Reinforcing
4105	02	841	Assumed
4106	02	862	Assumed
4106	02	850	Assumed
4112	02	850	Assumed
4115	05	731	Reinforcing
4120	04	752	Reinforcing
4128	02	862	Reinforcing
4128	02	600	Assumed
4130	02	862	Reinforcing
4139	06	850	Assumed
4142	01	500	Assumed
4148	02	850	Assumed
4148	02	850	Assumed
4151	04	849	Deflating
4153	08	731	Assumed
4157	04	681	Assumed
4166	02	850	Assumed
4168	02	850	Assumed
4171	02	661	Assumed
4175	02	543	Mixed
4175	03	550	Assumed
4176	02	667	Assumed
4178	05	731	Assumed
4183	04	739	Deflating
4183	05	849	Assumed
4183	05	849	Assumed
4183	02	849	Assumed
4186	02	862	Assumed
4187	02	862	Reinforcing
4188	02	850	Assumed
4188	02	500	Assumed
4188	02	850	Assumed
4188	05	850	Assumed
4189	05	850	Assumed
4189	06	850	Assumed
4189	02	681	Assumed
4189	02	850	Assumed
4189	02	850	Mixed
4189	02	850	Assumed
4190	02	850	Assumed
4191	02	850	Assumed
4191	01	850	Assumed
4191	02	850	Assumed
4193	08	903	Assumed
4193	02	905	Assumed
4195	04	603	Reinforcing
4203	02	550	Assumed
4203	02	500	Assumed
4203	01	500	Reinforcing
4209	02	501	Reinforcing
4209	08	907	Reinforcing
4211	02	602	Assumed
4214	04	862	Assumed
4216	01	645	Deflating
4223	02	862	Questioned
4225	02	850	Assumed
4234	02	862	Assumed
4234	02	926	Reinforcing
4234	02	500	Reinforcing
4238	02	863	Questioned
4238	02	514	Assumed
4242	02	862	Reinforcing
4254	02	850	Questioned
4257	02	862	Questioned
4258	03	500	Assumed
4266	02	863	Questioned
4266	02	513	Assumed
4270	02	862	Reinforcing
4274	02	602	Assumed
4274	02	850	Questioned
4281	02	850	Questioned
4282	02	850	Questioned
4295	08	850	Assumed
4300	02	862	Questioned
4300	02	765	Questioned
4305	02	765	Assumed
4305	02	765	Assumed
4305	06	765	Assumed
4308	02	503	Assumed
4311	01	803	Deflating
4314	02	862	Mixed
4314	08	765	Assumed
4314	02	850	Deflating
4317	01	512	Assumed
4322	03	500	Assumed
4323	02	514	Reinforcing
4324	08	850	Assumed
4326	02	862	Assumed
4340	02	503	Reinforcing
4340	02	509	Mixed
4341	02	500	Assumed
4341	03	500	Assumed
4343	02	863	Questioned
4343	02	514	Assumed
4345	02	803	Mixed
4345	01	803	Questioned
4348	05	905	Assumed
4361	02	849	Assumed
4366	02	582	Mixed
4375	02	862	Questioned
4376	06	731	Assumed
4385	01	645	Questioned
4387	02	850	Questioned
4389	01	645	Deflating
4389	02	602	Assumed
4389	04	604	Assumed
4389	01	600	Reinforcing
4389	01	781	Questioned
4389	01	862	Questioned
4398	02	862	Assumed
4399	08	730	Assumed
4410	01	600	Assumed
4415	02	661	Assumed
4415	01	601	Reinforcing
4415	01	862	Mixed
4416	02	850	Questioned
4421	01	645	Questioned
4422	02	663	Questioned
4424	02	771	Questioned
4427	02	661	Assumed
4428	02	862	Questioned
4441	01	645	Questioned
4442	01	645	Questioned
4442	01	645	Questioned
4442	01	601	Reinforcing
4442	01	501	Assumed
4442	01	781	Assumed
4444	06	850	Reinforcing
4459	02	765	Assumed
4474	02	862	Mixed
4477	05	902	Assumed
4485	02	850	Deflating
4485	02	850	Deflating
4491	02	862	Reinforcing
4494	02	500	Reinforcing
4501	03	697	Assumed
4503	03	697	Assumed
4511	02	830	Reinforcing
4511	02	830	Reinforcing
4515	01	675	Assumed
4518	02	850	Questioned
4518	02	850	Questioned
4526	01	862	Questioned
4527	01	645	Questioned
4530	02	665	Reinforcing
4534	01	645	Questioned
4535	02	862	Assumed
4540	02	611	Assumed
4546	02	500	Assumed
4557	03	697	Assumed
4565	02	862	Assumed
4586	02	850	Deflating
4591	02	862	Assumed
4598	05	862	Assumed
4598	08	862	Reinforcing
4599	03	862	Assumed
4608	02	999	Assumed
4610	03	600	Reinforcing
4610	02	600	Reinforcing
4653	06	543	Assumed
4653	06	862	Deflating
4655	03	500	Reinforcing
4656	01	645	Questioned
4656	01	693	Assumed
4656	01	501	Assumed
4659	05	850	Assumed
4659	02	850	Questioned
4681	03	500	Assumed
4699	02	850	Assumed
4701	02	500	Reinforcing
4703	04	620	Assumed
4703	04	862	Questioned
4710	02	862	Questioned
4714	06	850	Assumed
4716	04	671	Assumed
4725	05	621	Deflating
4733	06	862	Deflating
4733	08	862	Deflating
4741	02	509	Questioned
4745	03	500	Assumed
4745	08	739	Reinforcing
4761	08	739	Assumed
4767	06	850	Reinforcing
4767	05	850	Reinforcing
4774	04	620	Assumed
4779	02	764	Questioned
4784	02	500	Assumed
4784	01	500	Assumed
4787	04	671	Assumed
4788	02	999	Assumed
4794	02	509	Questioned
4798	08	850	Assumed
4809	02	764	Mixed
4820	02	611	Assumed
4820	05	660	Assumed
4821	02	850	Assumed
4831	02	862	Assumed
4832	02	509	Questioned
4832	02	611	Assumed
4832	02	692	Assumed
4832	02	503	Assumed
4834	02	660	Mixed
4845	03	862	Reinforcing
4854	01	500	Assumed
4855	02	862	Assumed
4855	02	500	Assumed
4875	04	774	Questioned
4875	03	774	Assumed
4875	01	774	Questioned
4876	02	850	Questioned
4883	06	999	Assumed
4888	02	600	Assumed
4902	02	600	Assumed
4904	01	645	Questioned
4904	01	781	Questioned
