ID	Reporting restrictions
1630	‘Embedded’ reporter
1631	None mentioned
1632	None mentioned
1633	None mentioned
1634	None mentioned
1636	None mentioned
1637	None mentioned
1638	None mentioned
1639	None mentioned
1640	None mentioned
1641	None mentioned
1643	None mentioned
1644	None mentioned
1645	None mentioned
1646	None mentioned
1647	None mentioned
1648	None mentioned
1649	None mentioned
1650	None mentioned
1651	None mentioned
1652	None mentioned
1653	‘Embedded’ reporter
1654	None mentioned
1655	None mentioned
1656	None mentioned
1657	None mentioned
1658	None mentioned
1659	‘Embedded’ reporter
1660	None mentioned
1661	None mentioned
1662	None mentioned
1663	None mentioned
1664	None mentioned
1666	None mentioned
1667	None mentioned
1668	None mentioned
1669	None mentioned
1670	None mentioned
1671	None mentioned
1672	None mentioned
1673	None mentioned
1674	None mentioned
1675	None mentioned
1676	None mentioned
1677	‘Embedded’ reporter
1678	‘Embedded’ reporter
1679	None mentioned
1680	‘Embedded’ reporter
1681	None mentioned
1683	None mentioned
1684	None mentioned
1685	None mentioned
1686	None mentioned
1688	‘Embedded’ reporter
1689	None mentioned
1690	None mentioned
1691	None mentioned
1692	None mentioned
1694	None mentioned
1695	None mentioned
1696	None mentioned
1697	None mentioned
1698	None mentioned
1699	None mentioned
1700	None mentioned
1701	None mentioned
1702	None mentioned
1703	‘Embedded’ reporter
1704	None mentioned
1705	None mentioned
1706	None mentioned
1707	None mentioned
1709	None mentioned
1710	None mentioned
1711	None mentioned
1712	None mentioned
1713	None mentioned
1714	None mentioned
1715	None mentioned
1716	None mentioned
1717	None mentioned
1718	None mentioned
1719	None mentioned
1720	None mentioned
1721	None mentioned
1722	None mentioned
1723	None mentioned
1724	None mentioned
1725	None mentioned
1726	None mentioned
1727	None mentioned
1728	None mentioned
1729	None mentioned
1730	None mentioned
1731	None mentioned
1732	None mentioned
1733	‘Embedded’ reporter
1734	None mentioned
1735	‘Embedded’ reporter
1736	None mentioned
1737	None mentioned
1739	None mentioned
1740	None mentioned
1741	None mentioned
1742	None mentioned
1743	None mentioned
1744	None mentioned
1745	None mentioned
1746	None mentioned
1747	None mentioned
1748	None mentioned
1749	None mentioned
1750	None mentioned
1751	None mentioned
1752	None mentioned
1753	None mentioned
1754	None mentioned
1756	None mentioned
1757	None mentioned
1758	None mentioned
1759	None mentioned
1760	None mentioned
1761	None mentioned
1762	None mentioned
1763	None mentioned
1764	None mentioned
1765	None mentioned
1767	None mentioned
1769	None mentioned
1770	None mentioned
1771	None mentioned
1772	None mentioned
1774	None mentioned
