ID	1 - Subject of photo	2 - Event Initiator	3 - Alternative source credited?	4 - Size of Photo
1008	071	01	N/A no other source	S
1008	059	71	N/A no other source	M
1009	026	03	N/A no other source	L
1012	281	11	N/A no other source	M
1013	200	37	N/A no other source	M
1016	054	74	N/A no other source	XL
1016	119	74	N/A no other source	S
1017	026	03	UK Military/ Government	L
1017	007	71	AP	M
1017	007	71	EPA	M
1018	119	54	Other UK media source	S
1018	118	54	Other media source: non-specific/ unclear	S
1018	241	53	N/A no other source	S
1019	350	13	N/A no other source	S
1021	062	03	Reuters	M
1021	038	03	Reuters	S
1022	038	03	N/A no other source	S
1023	060	03	N/A no other source	S
1025	372	52	Reuters	S
1025	355	71	EPA	S
1025	354	51	Reuters	M
1025	007	71	Reuters	S
1025	054	71	AFP	S
1025	145	71	Reuters	L
1027	135	01	N/A no other source	S
1027	135	01	N/A no other source	XL
1027	152	01	N/A no other source	S
1027	372	52	N/A no other source	S
1028	241	53	N/A no other source	XL
1030	166	66	N/A no other source	M
1030	182	66	N/A no other source	S
1030	182	66	N/A no other source	S
1029	053	71	N/A no other source	S
1031	149	74	Reuters	L
1031	135	01	Reuters	M
1031	149	71	Reuters	XL
1031	145	72	AP	L
1031	145	72	Reuters	M
1036	372	51	N/A no other source	M
1037	200	37	N/A no other source	M
1037	200	37	N/A no other source	S
1037	200	37	N/A no other source	S
1038	203	41	N/A no other source	S
1041	053	01	N/A no other source	M
1041	075	03	N/A no other source	S
1043	999	74	N/A no other source	S
1045	026	03	N/A no other source	XL
1045	166	66	N/A no other source	S
1045	182	75	N/A no other source	S
1045	119	54	N/A no other source	S
1047	062	03	N/A no other source	XL
1047	038	03	N/A no other source	S
1048	166	66	N/A no other source	L
1048	182	66	N/A no other source	S
1048	182	66	N/A no other source	M
1048	036	04	N/A no other source	S
1048	053	04	N/A no other source	S
1049	135	24	N/A no other source	M
1050	112	54	N/A no other source	L
1050	119	54	N/A no other source	S
1050	119	54	N/A no other source	S
1052	038	03	N/A no other source	M
1052	062	03	N/A no other source	L
1052	241	53	N/A no other source	S
1055	026	03	N/A no other source	M
1055	135	03	N/A no other source	M
1055	241	53	N/A no other source	S
1056	038	53	N/A no other source	M
1056	038	53	N/A no other source	S
1057	010	74	N/A no other source	S
1057	054	71	N/A no other source	S
1057	145	74	N/A no other source	S
1057	145	74	N/A no other source	M
1057	010	05	N/A no other source	M
1057	241	53	N/A no other source	S
1060	059	07	N/A no other source	M
1063	111	53	N/A no other source	L
1063	111	53	N/A no other source	S
1063	038	03	N/A no other source	M
1064	200	37	N/A no other source	S
1064	200	37	N/A no other source	S
1064	200	37	N/A no other source	M
1067	095	75	N/A no other source	S
1068	281	11	N/A no other source	S
1069	999	75	N/A no other source	M
1072	145	72	AP	M
1072	241	53	N/A no other source	S
1073	010	74	AP	M
1074	036	03	Reuters	S
1074	053	03	Reuters	M
1074	075	03	AP	S
1075	119	54	Other UK media source	S
1076	038	03	Other news agency	S
1077	241	53	N/A no other source	L
1079	149	71	AP	M
1079	135	01	Reuters	S
1079	372	52	Reuters	S
1081	026	03	UK Military/ Government	S
1085	200	37	N/A no other source	M
1087	200	37	N/A no other source	S
1089	281	11	N/A no other source	S
1093	026	01	N/A no other source	L
1094	119	54	N/A no other source	S
1095	135	03	N/A no other source	L
1096	241	53	N/A no other source	S
1098	054	71	N/A no other source	M
1098	145	72	N/A no other source	M
1099	140	72	N/A no other source	S
1100	059	07	N/A no other source	M
1102	076	01	N/A no other source	S
1103	026	01	N/A no other source	L
1104	026	03	N/A no other source	M
1106	034	71	N/A no other source	L
1106	074	53	N/A no other source	S
1107	353	01	N/A no other source	S
1108	401	53	N/A no other source	XL
1109	999	49	N/A no other source	M
1111	200	37	N/A no other source	M
1113	149	71	N/A no other source	L
1114	135	01	N/A no other source	M
1115	135	03	N/A no other source	S
1115	241	53	N/A no other source	S
1115	149	24	N/A no other source	S
1115	054	01	N/A no other source	M
1117	172	74	N/A no other source	M
1118	026	01	N/A no other source	S
1121	145	72	Reuters	L
1122	M	01	N/A no other source	M
1123	166	66	N/A no other source	S
1124	149	24	Reuters	L
1124	241	53	N/A no other source	S
1125	039	01	Reuters	M
1125	062	74	N/A no other source	S
1126	119	54	N/A no other source	S
1128	200	37	PA	M
1128	200	37	N/A no other source	S
1129	059	74	N/A no other source	S
1129	241	53	N/A no other source	S
1130	362	52	AP	M
1130	241	53	N/A no other source	S
1130	364	52	N/A no other source	S
1130	364	52	N/A no other source	S
1132	241	53	N/A no other source	XL
1132	063	53	N/A no other source	L
1133	059	01	N/A no other source	S
1134	281	53	N/A no other source	M
1134	281	53	N/A no other source	M
1135	200	37	Reuters	M
1136	340	66	N/A no other source	S
1138	201	50	AP	S
1140	007	53	Other US media source	M
1141	112	53	Other UK media source	S
1142	202	41	AP	M
1144	403	53	N/A no other source	M
1145	039	01	EPA	M
1145	026	74	N/A no other source	S
1145	062	01	N/A no other source	S
1146	119	53	N/A no other source	M
1147	054	01	EPA	S
1147	145	72	AP	M
1149	059	07	N/A no other source	M
