ID	1 - Subject of visual	2 - Event Initiator	3 - Alternative source credited?
284	279	09	N/A no other source
284	285	09	N/A no other source
284	062	01	N/A no other source
284	179	66	N/A no other source
284	175	66	N/A no other source
285	241	53	N/A no other source
286	180	66	N/A no other source
286	166	66	N/A no other source
287	402	75	N/A no other source
288	241	53	N/A no other source
288	062	03	N/A no other source
288	016	03	N/A no other source
288	054	03	N/A no other source
288	063	06	N/A no other source
288	370	52	Abu Dhabi
288	037	04	N/A no other source
288	053	03	N/A no other source
290	350	53	N/A no other source
290	360	03	N/A no other source
290	041	03	N/A no other source
290	289	13	N/A no other source
290	091	53	N/A no other source
290	278	13	N/A no other source
290	999	53	N/A no other source
290	056	03	N/A no other source
291	241	53	N/A no other source
291	062	02	N/A no other source
291	037	02	N/A no other source
291	024	01	N/A no other source
291	372	52	N/A no other source
291	288	13	N/A no other source
291	059	05	N/A no other source
291	371	52	N/A no other source
291	140	72	N/A no other source
291	053	71	N/A no other source
293	241	53	N/A no other source
293	279	09	N/A no other source
294	278	11	N/A no other source
296	300	09	N/A no other source
296	279	09	N/A no other source
296	091	53	N/A no other source
297	166	04	N/A no other source
297	180	66	N/A no other source
298	999	75	N/A no other source
298	340	66	N/A no other source
298	112	53	N/A no other source
300	241	53	N/A no other source
300	054	72	N/A no other source
300	371	52	N/A no other source
300	046	72	N/A no other source
300	140	72	N/A no other source
300	145	72	Other Arab media (not specific reporter)
300	181	72	Other Arab media (not specific reporter)
300	288	13	N/A no other source
300	114	57	Iraqi State TV/ media
300	372	52	N/A no other source
303	241	53	N/A no other source
304	037	02	N/A no other source
304	025	01	N/A no other source
304	110	74	N/A no other source
304	026	01	N/A no other source
304	135	01	N/A no other source
304	364	52	N/A no other source
305	024	03	N/A no other source
305	362	69	Al Jazeera
305	360	69	Al Jazeera
305	033	03	N/A no other source
305	040	05	Iraqi State TV/ media
305	038	03	N/A no other source
305	058	74	Al Jazeera
305	371	52	Al Jazeera
305	057	03	N/A no other source
305	063	06	N/A no other source
305	371	52	N/A no other source
305	353	74	N/A no other source
306	026	01	N/A no other source
306	037	02	N/A no other source
306	062	01	N/A no other source
306	024	01	N/A no other source
