Story ID	Ranking	Subject (Whom)	Tone
143	P	680	Straight
143	P	873	Straight
143	S	999	Straight
143	S	783	Straight
143	S	856	Straight
143	P	500	Straight
143	P	600	Straight
143	P	681	Straight
143	P	780	Straight
143	P	646	Straight
143	S	660	Straight
143	S	649	Straight
143	P	998	Straight
143	P	850	Straight
143	P	602	Straight
143	P	866	Straight
143	P	697	Straight
144	S	901	Straight
144	S	645	Straight
145	M	697	Straight
145	M	681	Straight
145	P	693	Straight
145	S	691	Straight
145	S	612	Straight
145	P	674	Straight
145	S	773	Straight
145	P	856	Straight
145	M	649	Straight
145	P	696	Straight
146	P	602	Straight
146	S	649	Straight
146	P	850	Straight
146	S	772	Straight
146	S	640	Straight
146	P	658	Straight
146	P	814	Straight
146	M	774	Straight
146	P	862	Straight
146	P	883	Straight
146	P	681	Straight
146	P	697	Straight
146	S	612	Straight
146	S	873	Straight
147	P	818	Straight
147	M	739	Straight
148	S	620	Straight
148	S	656	Straight
148	S	802	Straight
148	S	803	Straight
148	S	804	Straight
149	P	850	Straight
149	P	998	Straight
150	S	643	Straight
150	S	681	Straight
150	S	697	Straight
150	S	526	Straight
150	S	620	Straight
151	S	640	Deflating
151	S	612	Straight
151	P	681	Straight
151	P	697	Straight
151	P	620	Straight
151	P	850	Straight
151	P	645	Straight
151	P	677	Straight
151	P	902	Straight
151	P	906	Straight
152	P	641	Straight
152	M	640	Straight
152	S	850	Straight
152	S	643	Straight
152	P	645	Straight
152	S	677	Straight
152	P	644	Straight
153	M	681	Straight
153	M	697	Straight
153	S	649	Straight
154	M	697	Straight
154	S	681	Straight
154	P	640	Straight
154	S	649	Straight
155	M	697	Straight
155	P	640	Straight
156	M	681	Straight
156	S	649	Straight
156	P	680	Straight
156	P	697	Straight
157	M	697	Straight
157	M	681	Straight
158	M	681	Straight
158	M	880	Straight
158	P	886	Straight
158	S	850	Straight
159	M	681	Straight
159	S	645	Straight
159	S	649	Straight
159	S	697	Straight
160	M	602	Straight
160	M	640	Straight
160	S	645	Straight
160	P	658	Straight
160	M	612	Straight
160	S	649	Straight
160	P	680	Straight
160	M	600	Straight
160	S	607	Straight
160	P	623	Straight
160	P	998	Straight
161	M	612	Straight
161	S	645	Straight
161	S	640	Straight
161	S	649	Straight
161	P	623	Straight
162	M	640	Straight
162	S	645	Straight
162	S	501	Straight
162	S	773	Straight
162	P	693	Straight
162	P	901	Straight
162	P	623	Straight
162	S	774	Straight
162	P	882	Straight
162	P	681	Straight
162	P	697	Straight
162	P	649	Straight
163	M	772	Straight
163	S	850	Straight
163	S	602	Straight
163	S	645	Straight
163	S	640	Straight
163	P	649	Straight
163	P	697	Straight
163	P	681	Straight
164	M	500	Straight
164	S	522	Straight
164	S	640	Straight
164	P	526	Straight
164	S	501	Straight
164	P	645	Straight
164	S	600	Straight
164	P	697	Straight
165	M	880	Straight
165	M	681	Straight
165	P	886	Straight
166	S	526	Straight
166	S	620	Straight
166	S	640	Straight
166	S	681	Straight
166	S	697	Straight
167	P	620	Straight
167	S	649	Straight
167	S	850	Straight
167	M	640	Straight
167	S	645	Straight
167	P	526	Straight
167	S	901	Straight
167	P	600	Straight
167	P	928	Straight
168	S	645	Straight
168	S	681	Straight
168	S	697	Straight
168	P	850	Straight
169	M	692	Straight
169	M	697	Straight
170	M	664	Straight
170	M	681	Straight
170	M	649	Straight
170	S	906	Straight
171	S	681	Straight
171	S	697	Straight
171	S	999	Straight
171	S	774	Straight
172	M	681	Straight
172	S	649	Straight
172	P	850	Straight
173	M	681	Straight
173	M	697	Straight
173	S	649	Straight
173	S	693	Straight
173	S	850	Straight
174	M	693	Straight
174	M	697	Straight
174	P	640	Straight
175	M	500	Straight
175	M	697	Straight
175	P	831	Straight
176	M	640	Straight
176	S	602	Straight
176	M	697	Straight
176	M	681	Straight
176	S	649	Straight
176	P	522	Straight
176	S	612	Straight
176	P	664	Straight
176	P	850	Straight
177	S	649	Straight
177	S	526	Straight
177	S	620	Straight
177	S	640	Straight
177	S	645	Straight
177	S	693	Straight
177	P	867	Straight
177	P	850	Straight
178	S	602	Straight
178	M	600	Straight
178	S	649	Straight
178	P	608	Straight
178	S	805	Straight
178	P	681	Straight
178	P	664	Straight
178	P	999	Straight
179	M	730	Straight
179	M	710	Straight
179	S	830	Straight
179	M	720	Straight
180	M	830	Straight
180	S	697	Straight
180	M	831	Straight
180	S	863	Straight
180	S	703	Straight
181	M	681	Straight
181	M	697	Straight
181	S	645	Straight
